"Estacion","Fecha inicial","Fecha final","SO2"
"FACATATIVA - URBANO","2024-11-06","","4.58529412"
"FACATATIVA - URBANO","2024-11-05","","4.87222222"
"FACATATIVA - URBANO","2024-11-04","","3.39666667"
"FACATATIVA - URBANO","2024-11-03","","4.466875"
"FACATATIVA - URBANO","2024-11-02","","6.00176471"
"FACATATIVA - URBANO","2024-11-01","","4.34933333"
"FACATATIVA - URBANO","2024-10-31","","3.609375"
"FACATATIVA - URBANO","2024-10-30","","4.94625"
"FACATATIVA - URBANO","2024-10-29","","5.0147619"
"FACATATIVA - URBANO","2024-10-28","","4.22125"
"FACATATIVA - URBANO","2024-10-27","","4.79833333"
"FACATATIVA - URBANO","2024-10-26","","4.06333333"
"FACATATIVA - URBANO","2024-10-25","","5.96166667"
"FACATATIVA - URBANO","2024-10-24","","5.41208333"
"FACATATIVA - URBANO","2024-10-23","","5.40833333"
"FACATATIVA - URBANO","2024-10-22","","5.70416667"
"FACATATIVA - URBANO","2024-10-21","","5.46041667"
"FACATATIVA - URBANO","2024-10-20","","4.42416667"
"FACATATIVA - URBANO","2024-10-19","","5.34875"
"FACATATIVA - URBANO","2024-10-18","","7.24208333"
"FACATATIVA - URBANO","2024-10-17","","5.69625"
"FACATATIVA - URBANO","2024-10-16","","5.53333333"
"FACATATIVA - URBANO","2024-10-15","","5.34541667"
"FACATATIVA - URBANO","2024-10-14","","4.63083333"
"FACATATIVA - URBANO","2024-10-13","","4.40333333"
"FACATATIVA - URBANO","2024-10-12","","5.07708333"
"FACATATIVA - URBANO","2024-10-11","","5.31041667"
"FACATATIVA - URBANO","2024-10-10","","3.18875"
"FACATATIVA - URBANO","2024-10-09","","6.86333333"
"FACATATIVA - URBANO","2024-10-08","","4.0252381"
"FACATATIVA - URBANO","2024-10-07","","5.95375"
"FACATATIVA - URBANO","2024-10-06","","4.63708333"
"FACATATIVA - URBANO","2024-10-05","","6.0825"
"FACATATIVA - URBANO","2024-10-04","","6.16"
"FACATATIVA - URBANO","2024-10-03","","7.24833333"
"FACATATIVA - URBANO","2024-10-02","","5.92833333"
"FACATATIVA - URBANO","2024-10-01","","6.29375"
"FACATATIVA - URBANO","2024-09-30","","5.515"
"FACATATIVA - URBANO","2024-09-29","","5.35541667"
"FACATATIVA - URBANO","2024-09-28","","5.43625"
"FACATATIVA - URBANO","2024-09-27","","6.27666667"
"FACATATIVA - URBANO","2024-09-26","","5.74916667"
"FACATATIVA - URBANO","2024-09-25","","5.45875"
"FACATATIVA - URBANO","2024-09-24","","7.17625"
"FACATATIVA - URBANO","2024-09-23","","3.4226087"
"FACATATIVA - URBANO","2024-09-22","","4.52875"
"FACATATIVA - URBANO","2024-09-21","","5.28541667"
"FACATATIVA - URBANO","2024-09-20","","4.99625"
"FACATATIVA - URBANO","2024-09-19","","5.00041667"
"FACATATIVA - URBANO","2024-09-18","","4.1075"
"FACATATIVA - URBANO","2024-09-17","","6.18"
"FACATATIVA - URBANO","2024-09-16","","4.007"
"FACATATIVA - URBANO","2024-09-15","","5.08708333"
"FACATATIVA - URBANO","2024-09-14","","5.85666667"
"FACATATIVA - URBANO","2024-09-13","","5.04958333"
"FACATATIVA - URBANO","2024-09-12","","5.83208333"
"FACATATIVA - URBANO","2024-09-11","","6.08875"
"FACATATIVA - URBANO","2024-09-10","","3.89375"
"FACATATIVA - URBANO","2024-09-09","","4.73708333"
"FACATATIVA - URBANO","2024-09-08","","3.68"
"FACATATIVA - URBANO","2024-09-07","","4.8025"
"FACATATIVA - URBANO","2024-09-06","","4.395"
"FACATATIVA - URBANO","2024-09-05","","5.06916667"
"FACATATIVA - URBANO","2024-09-04","","5.94458333"
"FACATATIVA - URBANO","2024-09-03","","3.99"
"FACATATIVA - URBANO","2024-09-02","","3.21458333"
"FACATATIVA - URBANO","2024-09-01","","3.36125"
"FACATATIVA - URBANO","2024-08-31","","3.95208333"
"FACATATIVA - URBANO","2024-08-30","","4.42708333"
"FACATATIVA - URBANO","2024-08-29","","3.85"
"FACATATIVA - URBANO","2024-08-28","","4.13416667"
"FACATATIVA - URBANO","2024-08-27","","4.5295"
"FACATATIVA - URBANO","2024-08-26","","3.3775"
"FACATATIVA - URBANO","2024-08-25","","4.10458333"
"FACATATIVA - URBANO","2024-08-24","","3.74333333"
"FACATATIVA - URBANO","2024-08-23","","3.59916667"
"FACATATIVA - URBANO","2024-08-22","","4.19083333"
"FACATATIVA - URBANO","2024-08-21","","4.99625"
"FACATATIVA - URBANO","2024-08-20","","4.76458333"
"FACATATIVA - URBANO","2024-08-19","","5.12583333"
"FACATATIVA - URBANO","2024-08-18","","4.02125"
"FACATATIVA - URBANO","2024-08-17","","4.28333333"
"FACATATIVA - URBANO","2024-08-16","","3.43333333"
"FACATATIVA - URBANO","2024-08-15","","3.65958333"
"FACATATIVA - URBANO","2024-08-14","","3.30291667"
"FACATATIVA - URBANO","2024-08-13","","2.98"
"FACATATIVA - URBANO","2024-08-12","","3.42291667"
"FACATATIVA - URBANO","2024-08-11","","3.1575"
"FACATATIVA - URBANO","2024-08-10","","2.7725"
"FACATATIVA - URBANO","2024-08-09","","3.37375"
