"Estacion","Fecha inicial","Fecha final","NO2"
"FACATATIVA - URBANO","2024-05-05","","31.15833333"
"FACATATIVA - URBANO","2024-05-04","","36.77916667"
"FACATATIVA - URBANO","2024-05-03","","37.745"
"FACATATIVA - URBANO","2024-05-02","","37.00666667"
"FACATATIVA - URBANO","2024-05-01","","34.63583333"
"FACATATIVA - URBANO","2024-04-30","","40.28666667"
"FACATATIVA - URBANO","2024-04-29","","39.73958333"
"FACATATIVA - URBANO","2024-04-28","","38.72291667"
"FACATATIVA - URBANO","2024-04-27","","40.47458333"
"FACATATIVA - URBANO","2024-04-26","","39.79958333"
"FACATATIVA - URBANO","2024-04-25","","40.73791667"
"FACATATIVA - URBANO","2024-04-24","","45.05958333"
"FACATATIVA - URBANO","2024-04-23","","45.59208333"
"FACATATIVA - URBANO","2024-04-22","","43.44416667"
"FACATATIVA - URBANO","2024-04-21","","41.21166667"
"FACATATIVA - URBANO","2024-04-20","","47.36666667"
"FACATATIVA - URBANO","2024-04-19","","44.1875"
"FACATATIVA - URBANO","2024-04-18","","46.305"
"FACATATIVA - URBANO","2024-04-17","","51.58875"
"FACATATIVA - URBANO","2024-04-16","","46.80875"
"FACATATIVA - URBANO","2024-04-15","","54.160625"
"FACATATIVA - URBANO","2024-04-14","","37.30333333"
"FACATATIVA - URBANO","2024-04-13","","41.83291667"
"FACATATIVA - URBANO","2024-04-12","","40.745"
"FACATATIVA - URBANO","2024-04-11","","41.11708333"
"FACATATIVA - URBANO","2024-04-10","","37.4075"
"FACATATIVA - URBANO","2024-04-09","","31.16208333"
"FACATATIVA - URBANO","2024-04-08","","34.32541667"
"FACATATIVA - URBANO","2024-04-07","","28.735"
"FACATATIVA - URBANO","2024-04-06","","28.30125"
"FACATATIVA - URBANO","2024-04-05","","33.88916667"
"FACATATIVA - URBANO","2024-04-04","","38.48083333"
"FACATATIVA - URBANO","2024-04-03","","40.95958333"
"FACATATIVA - URBANO","2024-04-02","","40.29416667"
"FACATATIVA - URBANO","2024-04-01","","37.39291667"
"FACATATIVA - URBANO","2024-03-31","","32.64083333"
"FACATATIVA - URBANO","2024-03-30","","34.85958333"
"FACATATIVA - URBANO","2024-03-29","","25.44708333"
"FACATATIVA - URBANO","2024-03-28","","26.62541667"
"FACATATIVA - URBANO","2024-03-27","","34.36958333"
"FACATATIVA - URBANO","2024-03-26","","30.07291667"
"FACATATIVA - URBANO","2024-03-25","","27.60416667"
"FACATATIVA - URBANO","2024-03-24","","30.82333333"
"FACATATIVA - URBANO","2024-03-23","","38.93166667"
"FACATATIVA - URBANO","2024-03-22","","38.18375"
"FACATATIVA - URBANO","2024-03-21","","31.83041667"
"FACATATIVA - URBANO","2024-03-20","","35.16791667"
"FACATATIVA - URBANO","2024-03-19","","36.82791667"
"FACATATIVA - URBANO","2024-03-18","","36.2025"
"FACATATIVA - URBANO","2024-03-17","","31.78041667"
"FACATATIVA - URBANO","2024-03-16","","36.84583333"
"FACATATIVA - URBANO","2024-03-15","","33.99208333"
"FACATATIVA - URBANO","2024-03-14","","36.92708333"
"FACATATIVA - URBANO","2024-03-13","","35.37708333"
"FACATATIVA - URBANO","2024-03-12","","33.36208333"
"FACATATIVA - URBANO","2024-03-11","","35.63583333"
"FACATATIVA - URBANO","2024-03-10","","31.19333333"
"FACATATIVA - URBANO","2024-03-09","","39.78666667"
"FACATATIVA - URBANO","2024-03-08","","38.54208333"
"FACATATIVA - URBANO","2024-03-07","","39.78416667"
"FACATATIVA - URBANO","2024-03-06","","38.44125"
"FACATATIVA - URBANO","2024-03-05","","37.83875"
"FACATATIVA - URBANO","2024-03-04","","31.93291667"
"FACATATIVA - URBANO","2024-03-03","","26.42041667"
"FACATATIVA - URBANO","2024-03-02","","32.60958333"
"FACATATIVA - URBANO","2024-03-01","","30.92916667"
"FACATATIVA - URBANO","2024-02-29","","36.71208333"
"FACATATIVA - URBANO","2024-02-28","","37.25375"
"FACATATIVA - URBANO","2024-02-27","","34.13826087"
"FACATATIVA - URBANO","2024-02-26","","32.58166667"
"FACATATIVA - URBANO","2024-02-25","","25.29458333"
"FACATATIVA - URBANO","2024-02-24","","27.57083333"
"FACATATIVA - URBANO","2024-02-23","","29.04583333"
"FACATATIVA - URBANO","2024-02-22","","23.33541667"
"FACATATIVA - URBANO","2024-02-21","","26.36625"
"FACATATIVA - URBANO","2024-02-20","","26.6475"
"FACATATIVA - URBANO","2024-02-19","","27.6375"
